"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Romania","ROU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64438290209069","1.56184776495627","1.81024317056736","1.70099058503229","1.89361843346603","1.78862726200925","1.88422953010078","1.90683601805093","1.42938595069291","1.41501688586817","1.22202650400912","1.55221023556369","2.14476454589465","2.1188794653159","1.38427339579343","1.41590009517844","1.00755510616562","1.13626469609423","0.940362008648631","0.825281678953048","0.850270726199222","0.656984899202092","0.795541402586458","0.558883104877016","1.03655212152188","0.925350062363724","0.891027267294766","0.875668890504886","0.81092542017804","0.705941261312212","0.960282371031202","0.765866537678618","0.860024314405058","0.537622328733433","","",
"Romania","ROU","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","27.5","36.2264150943396","39.6449704142012","36.2768496420048","39.4904458598726","32.8740157480315","32.3293172690763","34.985835694051","36.5060240963855","30.4797742238946","27.6712328767123","24.6060606060606","27.7854195323246","24.8809523809524","19.5710455764075","20.704845814978","22.8571428571429","20.1176470588235","20.0239808153477","17.3770491803279","21.3235294117647","39.7572078907436","24.6558197747184","40.272373540856","39.7306397306397","33.888532991672","34.6280447662936","19.8928844682479","18.5977859778598","20.6916426512968","17.806197737334","14.0226035998326","14.7116644823067","13.5287789133943","10.9054886127879","10.6732753895688","12.3390845316293","12.2054330813168","10.4646051445614","10.9741492908371","11.7907369628023","11.6245577456736","10.259282768549","9.64488675417926","9.70054269785451","9.76460813037731","12.5297106365531","12.0966434628292","11.8219353460462","5.31272501715613","9.96197808798793","12.0642015331837","12.5495797110252","13.3604343463836","",
"Romania","ROU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","280000000","265000000","338000000","419000000","471000000","508000000","498000000","706000000","830000000","1063000000","1095000000","825000000","727000000","840000000","746000000","681000000","770000000","850000000","834000000","610000000","680000000","659000000","799000000","1028000000","1485000000","1561000000","1519000000","1307000000","1355000000","1735000000","2033000000","2389000000","3052000000","3718000000","9641786971.9585","12241860536.3716","13045871679.376","16317954681.4638","11758602889.7886","10348272832.198","12038389329.8255","12608107298.3816","18023345654.1966","20597096071.8565","18978701623.9103","20810524663.4098","24570199854.841","28004935809.4486","30211063469.9154","27120514333.7594","32872718770.3389","38717140516.5191","42871503259.5797","42821646477.0861","",
"Romania","ROU","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","302750000","308080000","341400000","378240000","408150000","468200000","569040000","740530000","754020000","834420000","1002330000","1158790000","1439980000","2139220000","3259450000","3511760000","4009180000","4234820000","5212540000","6700710000","8239040000","8091140000","7116460000","7043840000","7187840000","7174710000","6533049804.28836","7665800000","8280400000","7502200000","3955984700.1133","3041046300.74178","4049045342.36789","4784800000","6003300000","7727200000","7363300000","8082500000","8170650000.00001","8383000000","10147151050","11143794908","13762906473","17479032945","23184735217","27127852249","31810828170","40527859750","49606130792","40588436094","49473753374","62983859703","57831562666","65568108720","69592582825","60503973186","63428223421","70640663408","79529178233.9999","76752313175","70672643616","87143090969.0001","96376869897","100268470917","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","6.32535094962841","8.63412100753051","11.3825424721734","7.84422588832487","7.93335783412961","8.66510038445109","10.1363700267117","15.3268604918099","12.9956765072544","12.534455070588","10.2790498139335","8.68233243296887","10.119584994236","10.1022802703789","14.1299912561935","18.0143289974258","18.2750587401913","21.459235575538","18.2473419868241","15.8911518331639","18.8214889113295","29.7394433911661","28.2029267360457","23.1498727966564","19.0870970973199","19.3769504272647","18.162233155059","14.9690834616087","16.4665958166272","12.1870917864093","10.6294647698702","12.0570889995229","13.3241283903356","10.1780638689182","9.26823580364133","9.1559685267626","8.73793000421007","7.95298484379833","5.368973092716","4.82607658356197","4.1021561022293","3.35731395892269","3.68975817714256","3.14730127651235","3.02357123529275","2.98428994882867","2.78441339617597","2.49888256189003","2.95275458418986","3.56724775166697","3.07825517802809","3.39238981077914","4.27926839586327","4.50694292040577","4.75096521897195","4.86764372638171","4.66249503847979","4.16148849002327","4.02476974498849","3.54448909545846","2.81397358616675","3.76592174836607","3.89351807130728","3.28862895468862","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","25.3773740710157","19.6442482472085","19.2442882249561","20.3918147208122","21.5852015190494","20.877829987185","20.819274567693","24.6391098267457","24.8282538924697","25.5207209798423","23.1710115431046","21.6622511412767","22.5718412755733","20.0021503164705","24.6339106290939","32.535537736064","31.08565841394","31.8998210077406","31.0589463102441","31.222213765407","33.3024235833301","42.1959081167796","41.3756277699868","35.2084942304198","31.7480633959576","32.9460006049025","32.802163152026","26.0481619661353","29.5154823438481","24.5941190584095","21.0920937074428","22.4425691700568","24.2970852834331","26.2665106169537","20.8651908117202","19.5038306242882","18.3246642130566","13.9733993195175","8.89733374945689","7.85148514851485","7.26416065325055","6.91119112796221","6.99867838155874","6.40732698155573","5.56293841153856","6.35835685835978","5.8562367350023","5.48499911841508","6.2939944522009","6.34603495693879","6.35706803408378","6.78178314593913","7.98394677603021","8.71097329403037","8.97194240038612","8.69679139058185","9.2680273905539","8.25697296231711","7.10186088856803","6.86946294631986","5.90040515769801","6.92270359694497","6.93249049916278","6.27484765296573","","",
"Romania","ROU","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71853409402473","4.13457569838293","3.36503233985745","4.02353043649009","3.10246683996229","3.649978553135","3.44925815683414","3.21009719689582","4.27474896069196","4.82519352486943","5.26828670152389","6.91601258888057","4.88636183878211","4.2419741366313","4.14660575863074","4.67662140096493","3.92891510818202","5.25412030982878","5.20227714691062","4.72324875734715","3.60848133654177","4.23715422099536","4.14141567149189","3.79071454336541","3.23653895835825","2.69272331387427","2.35870523830703","2.00820906359327","2.10951156385024","2.22792611963379","2.1926188654676","2.2989315798619","2.80466122236143","2.78929714304173","2.47796891956889","2.68710025626505","",
"Romania","ROU","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7168844617951","17.726048159749","12.4839536819391","11.2235997105512","9.97015222734651","9.97686869509133","7.91292202922913","7.34452350382924","6.11054330283464","4.69599080551255","4.8647455837225","7.16272020298794","6.206081416544","7.90898665930851","6.47394621001543","6.72753084722976","10.6421419156508","9.98308648469886","7.53962745671053","8.93544041712786","5.89456207294194","5.30027024365568","5.49644320283291","5.52974013515212","5.21153593145803","5.99419923728229","4.46156773088773","3.59956212321768","3.76905997733512","4.09581018076912","3.78369321514142","2.41690733716218","3.52321676540238","7.6342305168134","5.30806019443117","4.87639833165149","",
"Romania","ROU","Export volume index (2015 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8572796431","33.8458484944","38.6971191605","41.8106243851","47.8290896744","52","56.8","64.5","69.8","64.5","76.6","84.6","82","91.5","97.3","100","105.8","112.2","112.8","111.7","100.5","107.1","115.2","116.1","","",
"Romania","ROU","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","38.9108910891089","41.4915254237288","58.1501340482574","60.6370656370656","53.3720930232558","60.794701986755","61.1385199240987","61.3458755426918","73.6633663366337","76.822966507177","78.1952662721893","72.5534759358289","63.3471074380165","64.3023255813954","77.4618320610687","74.5047169811321","77.2427184466019","71.4375","78.4","65.5273189326557","45.6043956043956","39.8625792811839","37.308533916849","34.3563512361466","33.2965821389195","35.9107420861443","28.3653846153846","32.7787021630616","35.9848484848485","35.8900973096737","41.5306696679797","46.5181058495822","51.4298683613255","50.6414584740041","36.4058363699934","34.966374339195","37.1706719257566","33.3176968048512","27.0166092298309","18.5577674466889","19.4369953367667","18.1725703743857","16.3530579850044","17.5033822606525","18.5068942342269","18.3942827872475","18.0366244806742","18.7855592576962","19.5559810211901","18.454263557082","18.3237078211824","19.361890694876","16.4946911162178","16.2422316477352","",
